iter	Logloss
0	0.6917397682
1	0.6904492127
2	0.6894778746
3	0.6878944839
4	0.6861497131
5	0.6847777465
6	0.6830328065
7	0.6818044131
8	0.6803393155
9	0.6786272009
10	0.6773784954
11	0.6761564805
12	0.6747510051
13	0.6728168978
14	0.6714897272
15	0.6703691267
16	0.669451811
17	0.6679082933
18	0.6666577585
19	0.6655561922
20	0.6644096531
21	0.6633463632
22	0.661766296
23	0.6606377391
24	0.6593029394
25	0.6579830694
26	0.6564695847
27	0.655774704
28	0.6542863611
29	0.6534157139
30	0.6522418257
31	0.6510632585
32	0.6499767471
33	0.6491187996
34	0.6480803134
35	0.6469450251
36	0.6462380498
37	0.645308303
38	0.644286779
39	0.643134145
40	0.6418775895
41	0.6406054236
42	0.6396561331
43	0.6384867523
44	0.6373892482
45	0.6360132456
46	0.635023625
47	0.6340088419
48	0.6330789531
49	0.6323301735
50	0.6314323413
51	0.6307531164
52	0.6294371976
53	0.6285385324
54	0.6274579252
55	0.6261162595
56	0.6249536246
57	0.6240238898
58	0.6232266552
59	0.6226623869
60	0.6215540996
61	0.6203205325
62	0.619259075
63	0.6181169489
64	0.616849625
65	0.6158629215
66	0.6149171067
67	0.6140409963
68	0.6132662081
69	0.6122247096
70	0.611181515
71	0.6104588557
72	0.6095829492
73	0.6088427531
74	0.6079173968
75	0.6072348258
76	0.6061340364
77	0.6053990202
78	0.6047261552
79	0.6039188579
80	0.603030519
81	0.6024313678
82	0.601740651
83	0.601106999
84	0.6002551502
85	0.5994474212
86	0.5985192959
87	0.5978379919
88	0.5970103978
89	0.5963978767
90	0.5954588745
91	0.5945882664
92	0.5938522156
93	0.5928018686
94	0.5922514212
95	0.5917076138
96	0.5909942194
97	0.5901914087
98	0.589285504
99	0.5885823176
100	0.5878425638
101	0.587191529
102	0.5864375532
103	0.5855988704
104	0.5851055406
105	0.5845301723
106	0.5842437542
107	0.5836248991
108	0.5830255391
109	0.5823856753
110	0.5816712453
111	0.5810597956
112	0.5803147576
113	0.5796191886
114	0.5790136426
115	0.5785222329
116	0.5773047867
117	0.5767277273
118	0.5761139357
119	0.5753235803
120	0.5748157787
121	0.5740625846
122	0.5733314285
123	0.5724424024
124	0.5718612701
125	0.5713892125
126	0.5705699052
127	0.5698558532
128	0.5690546003
129	0.5685571509
130	0.5679160778
131	0.567405869
132	0.5668339496
133	0.5661593881
134	0.5658412096
135	0.5650743331
136	0.5641679404
137	0.5635780691
138	0.5629663112
139	0.5624154221
140	0.5616104646
141	0.5612892046
142	0.5610360625
143	0.5603680232
144	0.559793251
145	0.5590030103
146	0.55843443
147	0.5580862076
148	0.5575520868
149	0.5570906718
150	0.5564809499
151	0.5560251004
152	0.5553404846
153	0.5546066168
154	0.5540507353
155	0.5534615466
156	0.5528187965
157	0.5522214083
158	0.5515005366
159	0.5506432869
160	0.5500365474
161	0.5492932885
162	0.5487671752
163	0.5479842769
164	0.5473218666
165	0.5466995181
166	0.546349574
167	0.5458274028
168	0.5452074179
