iter	Passed	Remaining
0	1	1538
1	2	1496
2	4	1485
3	5	1412
4	7	1447
5	9	1625
6	12	1799
7	15	1868
8	18	2024
9	19	1977
10	21	1923
11	27	2293
12	31	2355
13	33	2365
14	35	2332
15	37	2288
16	39	2292
17	41	2275
18	46	2407
19	48	2366
20	49	2313
21	51	2281
22	52	2235
23	54	2201
24	55	2176
25	57	2142
26	59	2144
27	60	2111
28	62	2086
29	63	2067
30	65	2043
31	66	2017
32	68	2000
33	69	1972
34	70	1953
35	74	1990
36	76	1981
37	77	1955
38	78	1929
39	79	1908
40	82	1920
41	83	1900
42	84	1881
43	85	1859
44	86	1846
45	88	1826
46	89	1809
47	90	1790
48	91	1775
49	93	1777
50	95	1772
51	96	1757
52	97	1744
53	98	1728
54	99	1717
55	101	1705
56	102	1692
57	103	1679
58	104	1668
59	106	1662
60	107	1656
61	108	1647
62	110	1637
63	111	1625
64	112	1617
65	113	1608
66	114	1598
67	115	1587
68	117	1581
69	119	1586
70	120	1580
71	121	1570
72	123	1562
73	124	1553
74	125	1546
75	126	1537
76	127	1529
77	128	1524
78	130	1517
79	132	1519
80	133	1516
81	134	1509
82	135	1502
83	137	1494
84	138	1487
85	139	1481
86	140	1473
87	141	1466
88	142	1461
89	143	1453
90	145	1456
91	146	1449
92	148	1443
93	149	1436
94	150	1430
95	151	1423
96	152	1418
97	153	1412
98	154	1407
99	155	1401
100	156	1395
101	158	1393
102	159	1388
103	160	1382
104	161	1377
105	162	1373
106	163	1368
107	165	1363
108	166	1357
109	167	1352
110	168	1348
111	169	1345
112	171	1345
113	172	1342
114	173	1337
115	174	1332
116	175	1328
117	176	1322
118	178	1317
119	179	1313
120	180	1309
121	181	1305
122	182	1303
123	184	1302
124	185	1299
125	186	1295
126	187	1291
127	188	1287
128	190	1284
129	191	1280
130	192	1278
131	193	1274
132	194	1270
133	196	1270
134	197	1267
135	199	1264
136	200	1261
137	201	1257
138	202	1254
139	203	1250
140	204	1246
141	205	1243
142	207	1242
143	209	1242
144	210	1240
145	211	1237
146	212	1234
147	213	1231
148	215	1228
149	216	1224
150	217	1221
151	218	1219
152	220	1220
153	223	1226
154	224	1226
155	226	1223
156	227	1219
157	228	1217
158	229	1213
159	230	1210
160	231	1206
161	232	1203
162	233	1199
163	235	1201
164	236	1198
165	238	1198
166	239	1196
167	241	1193
168	242	1190
169	243	1187
170	244	1184
171	245	1181
172	247	1180
173	248	1181
174	250	1179
175	251	1178
176	252	1174
177	253	1172
178	255	1170
179	256	1167
180	257	1164
181	258	1162
182	260	1163
183	261	1161
184	262	1158
185	264	1155
186	265	1152
187	266	1149
188	267	1146
189	268	1144
190	269	1141
191	270	1139
192	271	1136
193	273	1135
194	274	1133
195	275	1131
196	276	1128
197	277	1125
198	279	1123
199	280	1120
200	281	1118
201	282	1115
202	283	1113
203	284	1111
204	286	1111
205	287	1109
206	288	1106
207	289	1104
208	291	1101
209	292	1099
210	293	1096
211	294	1094
212	295	1091
213	296	1089
214	297	1087
215	300	1090
216	301	1088
217	302	1086
218	304	1084
219	305	1082
220	306	1079
221	307	1077
222	308	1075
223	309	1072
224	310	1070
225	312	1069
226	313	1067
227	314	1065
228	315	1063
229	317	1061
230	318	1059
231	319	1056
232	320	1054
233	321	1051
234	322	1049
235	323	1048
236	325	1048
237	326	1046
238	327	1043
239	328	1041
240	329	1038
241	331	1036
242	332	1034
243	333	1032
244	334	1030
245	335	1028
246	336	1026
